ENTIDAD_RES,FECHA_DEF,defunciones,fecha_defuncion,ENTIDAD,CLAVE_ENTIDAD
1,2020-08-10,3,2020-08-10,Aguascalientes,1
1,2020-08-11,4,2020-08-11,Aguascalientes,1
1,2020-08-12,5,2020-08-12,Aguascalientes,1
1,2020-08-13,5,2020-08-13,Aguascalientes,1
1,2020-08-14,6,2020-08-14,Aguascalientes,1
1,2020-08-15,8,2020-08-15,Aguascalientes,1
1,2020-08-16,6,2020-08-16,Aguascalientes,1
1,2020-08-17,4,2020-08-17,Aguascalientes,1
1,2020-08-18,5,2020-08-18,Aguascalientes,1
1,2020-08-19,4,2020-08-19,Aguascalientes,1
1,2020-08-20,5,2020-08-20,Aguascalientes,1
1,2020-08-21,6,2020-08-21,Aguascalientes,1
1,2020-08-22,2,2020-08-22,Aguascalientes,1
1,2020-08-23,2,2020-08-23,Aguascalientes,1
1,2020-08-24,16,2020-08-24,Aguascalientes,1
1,2020-08-25,6,2020-08-25,Aguascalientes,1
1,2020-08-26,5,2020-08-26,Aguascalientes,1
1,2020-08-27,10,2020-08-27,Aguascalientes,1
1,2020-08-28,6,2020-08-28,Aguascalientes,1
1,2020-08-29,4,2020-08-29,Aguascalientes,1
1,2020-08-30,3,2020-08-30,Aguascalientes,1
1,2020-08-31,9,2020-08-31,Aguascalientes,1
1,2020-09-01,4,2020-09-01,Aguascalientes,1
1,2020-09-02,14,2020-09-02,Aguascalientes,1
1,2020-09-03,6,2020-09-03,Aguascalientes,1
1,2020-09-04,8,2020-09-04,Aguascalientes,1
1,2020-09-05,12,2020-09-05,Aguascalientes,1
1,2020-09-06,6,2020-09-06,Aguascalientes,1
1,2020-09-07,8,2020-09-07,Aguascalientes,1
1,2020-09-08,9,2020-09-08,Aguascalientes,1
1,2020-09-09,7,2020-09-09,Aguascalientes,1
1,2020-09-10,2,2020-09-10,Aguascalientes,1
1,2020-09-11,6,2020-09-11,Aguascalientes,1
1,2020-09-12,6,2020-09-12,Aguascalientes,1
1,2020-09-13,4,2020-09-13,Aguascalientes,1
1,2020-09-14,9,2020-09-14,Aguascalientes,1
1,2020-09-15,5,2020-09-15,Aguascalientes,1
1,2020-09-16,7,2020-09-16,Aguascalientes,1
1,2020-09-17,7,2020-09-17,Aguascalientes,1
1,2020-09-18,8,2020-09-18,Aguascalientes,1
1,2020-09-19,5,2020-09-19,Aguascalientes,1
1,2020-09-20,8,2020-09-20,Aguascalientes,1
1,2020-09-21,12,2020-09-21,Aguascalientes,1
1,2020-09-22,6,2020-09-22,Aguascalientes,1
1,2020-09-23,4,2020-09-23,Aguascalientes,1
1,2020-09-24,7,2020-09-24,Aguascalientes,1
1,2020-09-25,5,2020-09-25,Aguascalientes,1
1,2020-09-26,3,2020-09-26,Aguascalientes,1
1,2020-09-27,6,2020-09-27,Aguascalientes,1
1,2020-09-28,9,2020-09-28,Aguascalientes,1
1,2020-09-29,7,2020-09-29,Aguascalientes,1
1,2020-09-30,5,2020-09-30,Aguascalientes,1
1,2020-10-01,11,2020-10-01,Aguascalientes,1
1,2020-10-02,1,2020-10-02,Aguascalientes,1
1,2020-10-03,3,2020-10-03,Aguascalientes,1
1,2020-10-04,7,2020-10-04,Aguascalientes,1
1,2020-10-05,9,2020-10-05,Aguascalientes,1
1,2020-10-06,5,2020-10-06,Aguascalientes,1
1,2020-10-07,2,2020-10-07,Aguascalientes,1
1,2020-10-08,6,2020-10-08,Aguascalientes,1
1,2020-10-09,3,2020-10-09,Aguascalientes,1
1,2020-10-10,5,2020-10-10,Aguascalientes,1
1,2020-10-11,3,2020-10-11,Aguascalientes,1
1,2020-10-12,7,2020-10-12,Aguascalientes,1
1,2020-10-13,8,2020-10-13,Aguascalientes,1
1,2020-10-14,3,2020-10-14,Aguascalientes,1
1,2020-10-15,6,2020-10-15,Aguascalientes,1
1,2020-10-16,3,2020-10-16,Aguascalientes,1
1,2020-10-17,13,2020-10-17,Aguascalientes,1
1,2020-10-18,5,2020-10-18,Aguascalientes,1
1,2020-10-19,11,2020-10-19,Aguascalientes,1
1,2020-10-20,11,2020-10-20,Aguascalientes,1
1,2020-10-21,11,2020-10-21,Aguascalientes,1
1,2020-10-22,11,2020-10-22,Aguascalientes,1
1,2020-10-23,7,2020-10-23,Aguascalientes,1
1,2020-10-24,9,2020-10-24,Aguascalientes,1
1,2020-10-25,7,2020-10-25,Aguascalientes,1
1,2020-10-26,3,2020-10-26,Aguascalientes,1
1,2020-10-27,4,2020-10-27,Aguascalientes,1
1,2020-10-28,4,2020-10-28,Aguascalientes,1
1,2020-10-29,9,2020-10-29,Aguascalientes,1
1,2020-10-30,7,2020-10-30,Aguascalientes,1
1,2020-10-31,7,2020-10-31,Aguascalientes,1
1,2020-11-01,6,2020-11-01,Aguascalientes,1
1,2020-11-02,12,2020-11-02,Aguascalientes,1
1,2020-11-03,11,2020-11-03,Aguascalientes,1
1,2020-11-04,6,2020-11-04,Aguascalientes,1
1,2020-11-05,9,2020-11-05,Aguascalientes,1
1,2020-11-06,16,2020-11-06,Aguascalientes,1
1,2020-11-07,11,2020-11-07,Aguascalientes,1
1,2020-11-08,9,2020-11-08,Aguascalientes,1
1,2020-11-09,9,2020-11-09,Aguascalientes,1
1,2020-11-10,9,2020-11-10,Aguascalientes,1
1,2020-11-11,9,2020-11-11,Aguascalientes,1
1,2020-11-12,18,2020-11-12,Aguascalientes,1
1,2020-11-13,11,2020-11-13,Aguascalientes,1
1,2020-11-14,13,2020-11-14,Aguascalientes,1
1,2020-11-15,17,2020-11-15,Aguascalientes,1
1,2020-11-16,6,2020-11-16,Aguascalientes,1
1,2020-11-17,10,2020-11-17,Aguascalientes,1
1,2020-11-18,6,2020-11-18,Aguascalientes,1
1,2020-11-19,5,2020-11-19,Aguascalientes,1
1,2020-11-20,9,2020-11-20,Aguascalientes,1
1,2020-11-21,11,2020-11-21,Aguascalientes,1
1,2020-11-22,9,2020-11-22,Aguascalientes,1
1,2020-11-23,7,2020-11-23,Aguascalientes,1
1,2020-11-24,11,2020-11-24,Aguascalientes,1
1,2020-11-25,11,2020-11-25,Aguascalientes,1
1,2020-11-26,11,2020-11-26,Aguascalientes,1
1,2020-11-27,5,2020-11-27,Aguascalientes,1
1,2020-11-28,4,2020-11-28,Aguascalientes,1
1,2020-11-29,15,2020-11-29,Aguascalientes,1
1,2020-11-30,12,2020-11-30,Aguascalientes,1
1,2020-12-01,17,2020-12-01,Aguascalientes,1
1,2020-12-02,12,2020-12-02,Aguascalientes,1
1,2020-12-03,9,2020-12-03,Aguascalientes,1
1,2020-12-04,9,2020-12-04,Aguascalientes,1
1,2020-12-05,22,2020-12-05,Aguascalientes,1
1,2020-12-06,12,2020-12-06,Aguascalientes,1
1,2020-12-07,8,2020-12-07,Aguascalientes,1
1,2020-12-08,13,2020-12-08,Aguascalientes,1
1,2020-12-09,7,2020-12-09,Aguascalientes,1
1,2020-12-10,10,2020-12-10,Aguascalientes,1
1,2020-12-11,7,2020-12-11,Aguascalientes,1
1,2020-12-12,8,2020-12-12,Aguascalientes,1
1,2020-12-13,13,2020-12-13,Aguascalientes,1
1,2020-12-14,7,2020-12-14,Aguascalientes,1
1,2020-12-15,4,2020-12-15,Aguascalientes,1
1,2020-12-16,7,2020-12-16,Aguascalientes,1
1,2020-12-17,7,2020-12-17,Aguascalientes,1
1,2020-12-18,9,2020-12-18,Aguascalientes,1
1,2020-12-19,5,2020-12-19,Aguascalientes,1
1,2020-12-20,9,2020-12-20,Aguascalientes,1
1,2020-12-21,11,2020-12-21,Aguascalientes,1
1,2020-12-22,8,2020-12-22,Aguascalientes,1
1,2020-12-23,3,2020-12-23,Aguascalientes,1
1,2020-12-24,2,2020-12-24,Aguascalientes,1
1,2020-12-25,8,2020-12-25,Aguascalientes,1
1,2020-12-26,7,2020-12-26,Aguascalientes,1
1,2020-12-27,6,2020-12-27,Aguascalientes,1
1,2020-12-28,7,2020-12-28,Aguascalientes,1
1,2020-12-29,10,2020-12-29,Aguascalientes,1
1,2020-12-30,6,2020-12-30,Aguascalientes,1
1,2020-12-31,7,2020-12-31,Aguascalientes,1
1,2021-01-01,4,2021-01-01,Aguascalientes,1
1,2021-01-02,3,2021-01-02,Aguascalientes,1
1,2021-01-03,7,2021-01-03,Aguascalientes,1
1,2021-01-04,3,2021-01-04,Aguascalientes,1
1,2021-01-05,7,2021-01-05,Aguascalientes,1
1,2021-01-06,5,2021-01-06,Aguascalientes,1
1,2021-01-07,6,2021-01-07,Aguascalientes,1
1,2021-01-08,5,2021-01-08,Aguascalientes,1
1,2021-01-09,4,2021-01-09,Aguascalientes,1
1,2021-01-10,5,2021-01-10,Aguascalientes,1
1,2021-01-11,10,2021-01-11,Aguascalientes,1
1,2021-01-12,8,2021-01-12,Aguascalientes,1
1,2021-01-13,7,2021-01-13,Aguascalientes,1
1,2021-01-14,4,2021-01-14,Aguascalientes,1
1,2021-01-15,1,2021-01-15,Aguascalientes,1
2,2020-03-29,1,2020-03-29,Baja California,2
2,2020-03-30,2,2020-03-30,Baja California,2
2,2020-03-31,2,2020-03-31,Baja California,2
2,2020-04-01,2,2020-04-01,Baja California,2
2,2020-04-02,5,2020-04-02,Baja California,2
2,2020-04-03,2,2020-04-03,Baja California,2
2,2020-04-04,5,2020-04-04,Baja California,2
2,2020-04-05,1,2020-04-05,Baja California,2
2,2020-04-06,10,2020-04-06,Baja California,2
2,2020-04-07,5,2020-04-07,Baja California,2
2,2020-04-08,6,2020-04-08,Baja California,2
2,2020-04-09,5,2020-04-09,Baja California,2
2,2020-04-10,7,2020-04-10,Baja California,2
2,2020-04-11,10,2020-04-11,Baja California,2
2,2020-04-12,12,2020-04-12,Baja California,2
2,2020-04-13,8,2020-04-13,Baja California,2
2,2020-04-14,11,2020-04-14,Baja California,2
2,2020-04-15,17,2020-04-15,Baja California,2
2,2020-04-16,11,2020-04-16,Baja California,2
2,2020-04-17,20,2020-04-17,Baja California,2
2,2020-04-18,16,2020-04-18,Baja California,2
2,2020-04-19,16,2020-04-19,Baja California,2
2,2020-04-20,14,2020-04-20,Baja California,2
2,2020-04-21,15,2020-04-21,Baja California,2
2,2020-04-22,18,2020-04-22,Baja California,2
2,2020-04-23,19,2020-04-23,Baja California,2
2,2020-04-24,24,2020-04-24,Baja California,2
2,2020-04-25,18,2020-04-25,Baja California,2
2,2020-04-26,18,2020-04-26,Baja California,2
2,2020-04-27,28,2020-04-27,Baja California,2
2,2020-04-28,21,2020-04-28,Baja California,2
2,2020-04-29,29,2020-04-29,Baja California,2
2,2020-04-30,22,2020-04-30,Baja California,2
2,2020-05-01,23,2020-05-01,Baja California,2
2,2020-05-02,26,2020-05-02,Baja California,2
2,2020-05-03,14,2020-05-03,Baja California,2
2,2020-05-04,30,2020-05-04,Baja California,2
2,2020-05-05,31,2020-05-05,Baja California,2
2,2020-05-06,28,2020-05-06,Baja California,2
2,2020-05-07,26,2020-05-07,Baja California,2
2,2020-05-08,34,2020-05-08,Baja California,2
2,2020-05-09,36,2020-05-09,Baja California,2
2,2020-05-10,28,2020-05-10,Baja California,2
2,2020-05-11,31,2020-05-11,Baja California,2
2,2020-05-12,29,2020-05-12,Baja California,2
2,2020-05-13,38,2020-05-13,Baja California,2
2,2020-05-14,36,2020-05-14,Baja California,2
2,2020-05-15,27,2020-05-15,Baja California,2
2,2020-05-16,31,2020-05-16,Baja California,2
2,2020-05-17,41,2020-05-17,Baja California,2
2,2020-05-18,52,2020-05-18,Baja California,2
2,2020-05-19,33,2020-05-19,Baja California,2
2,2020-05-20,41,2020-05-20,Baja California,2
2,2020-05-21,21,2020-05-21,Baja California,2
2,2020-05-22,26,2020-05-22,Baja California,2
2,2020-05-23,29,2020-05-23,Baja California,2
2,2020-05-24,32,2020-05-24,Baja California,2
2,2020-05-25,35,2020-05-25,Baja California,2
2,2020-05-26,34,2020-05-26,Baja California,2
2,2020-05-27,29,2020-05-27,Baja California,2
2,2020-05-28,37,2020-05-28,Baja California,2
2,2020-05-29,18,2020-05-29,Baja California,2
2,2020-05-30,33,2020-05-30,Baja California,2
2,2020-05-31,29,2020-05-31,Baja California,2
2,2020-06-01,32,2020-06-01,Baja California,2
2,2020-06-02,29,2020-06-02,Baja California,2
2,2020-06-03,25,2020-06-03,Baja California,2
2,2020-06-04,29,2020-06-04,Baja California,2
2,2020-06-05,26,2020-06-05,Baja California,2
2,2020-06-06,39,2020-06-06,Baja California,2
2,2020-06-07,28,2020-06-07,Baja California,2
2,2020-06-08,30,2020-06-08,Baja California,2
2,2020-06-09,18,2020-06-09,Baja California,2
2,2020-06-10,30,2020-06-10,Baja California,2
2,2020-06-11,22,2020-06-11,Baja California,2
2,2020-06-12,32,2020-06-12,Baja California,2
2,2020-06-13,28,2020-06-13,Baja California,2
2,2020-06-14,31,2020-06-14,Baja California,2
2,2020-06-15,24,2020-06-15,Baja California,2
2,2020-06-16,18,2020-06-16,Baja California,2
2,2020-06-17,30,2020-06-17,Baja California,2
2,2020-06-18,24,2020-06-18,Baja California,2
2,2020-06-19,24,2020-06-19,Baja California,2
2,2020-06-20,13,2020-06-20,Baja California,2
2,2020-06-21,19,2020-06-21,Baja California,2
2,2020-06-22,23,2020-06-22,Baja California,2
2,2020-06-23,24,2020-06-23,Baja California,2
2,2020-06-24,24,2020-06-24,Baja California,2
2,2020-06-25,25,2020-06-25,Baja California,2
2,2020-06-26,25,2020-06-26,Baja California,2
2,2020-06-27,21,2020-06-27,Baja California,2
2,2020-06-28,16,2020-06-28,Baja California,2
2,2020-06-29,29,2020-06-29,Baja California,2
2,2020-06-30,31,2020-06-30,Baja California,2
2,2020-07-01,22,2020-07-01,Baja California,2
2,2020-07-02,25,2020-07-02,Baja California,2
2,2020-07-03,27,2020-07-03,Baja California,2
2,2020-07-04,29,2020-07-04,Baja California,2
2,2020-07-05,36,2020-07-05,Baja California,2
2,2020-07-06,43,2020-07-06,Baja California,2
2,2020-07-07,29,2020-07-07,Baja California,2
2,2020-07-08,23,2020-07-08,Baja California,2
2,2020-07-09,23,2020-07-09,Baja California,2
2,2020-07-10,30,2020-07-10,Baja California,2
2,2020-07-11,26,2020-07-11,Baja California,2
2,2020-07-12,24,2020-07-12,Baja California,2
2,2020-07-13,18,2020-07-13,Baja California,2
2,2020-07-14,21,2020-07-14,Baja California,2
2,2020-07-15,9,2020-07-15,Baja California,2
2,2020-07-16,24,2020-07-16,Baja California,2
2,2020-07-17,25,2020-07-17,Baja California,2
2,2020-07-18,19,2020-07-18,Baja California,2
2,2020-07-19,24,2020-07-19,Baja California,2
2,2020-07-20,25,2020-07-20,Baja California,2
2,2020-07-21,18,2020-07-21,Baja California,2
2,2020-07-22,21,2020-07-22,Baja California,2
2,2020-07-23,22,2020-07-23,Baja California,2
2,2020-07-24,16,2020-07-24,Baja California,2
2,2020-07-25,27,2020-07-25,Baja California,2
2,2020-07-26,16,2020-07-26,Baja California,2
2,2020-07-27,24,2020-07-27,Baja California,2
2,2020-07-28,21,2020-07-28,Baja California,2
2,2020-07-29,17,2020-07-29,Baja California,2
2,2020-07-30,23,2020-07-30,Baja California,2
2,2020-07-31,16,2020-07-31,Baja California,2
2,2020-08-01,16,2020-08-01,Baja California,2
2,2020-08-02,17,2020-08-02,Baja California,2
2,2020-08-03,23,2020-08-03,Baja California,2
2,2020-08-04,31,2020-08-04,Baja California,2
2,2020-08-05,14,2020-08-05,Baja California,2
2,2020-08-06,12,2020-08-06,Baja California,2
2,2020-08-07,13,2020-08-07,Baja California,2
2,2020-08-08,20,2020-08-08,Baja California,2
2,2020-08-09,8,2020-08-09,Baja California,2
2,2020-08-10,17,2020-08-10,Baja California,2
2,2020-08-11,21,2020-08-11,Baja California,2
2,2020-08-12,6,2020-08-12,Baja California,2
2,2020-08-13,12,2020-08-13,Baja California,2
2,2020-08-14,20,2020-08-14,Baja California,2
2,2020-08-15,14,2020-08-15,Baja California,2
2,2020-08-16,17,2020-08-16,Baja California,2
2,2020-08-17,29,2020-08-17,Baja California,2
2,2020-08-18,20,2020-08-18,Baja California,2
2,2020-08-19,12,2020-08-19,Baja California,2
2,2020-08-20,11,2020-08-20,Baja California,2
2,2020-08-21,13,2020-08-21,Baja California,2
2,2020-08-22,15,2020-08-22,Baja California,2
2,2020-08-23,13,2020-08-23,Baja California,2
2,2020-08-24,16,2020-08-24,Baja California,2
2,2020-08-25,11,2020-08-25,Baja California,2
2,2020-08-26,10,2020-08-26,Baja California,2
2,2020-08-27,10,2020-08-27,Baja California,2
2,2020-08-28,15,2020-08-28,Baja California,2
2,2020-08-29,9,2020-08-29,Baja California,2
2,2020-08-30,22,2020-08-30,Baja California,2
2,2020-08-31,14,2020-08-31,Baja California,2
2,2020-09-01,18,2020-09-01,Baja California,2
2,2020-09-02,17,2020-09-02,Baja California,2
2,2020-09-03,9,2020-09-03,Baja California,2
2,2020-09-04,13,2020-09-04,Baja California,2
2,2020-09-05,13,2020-09-05,Baja California,2
2,2020-09-06,8,2020-09-06,Baja California,2
2,2020-09-07,20,2020-09-07,Baja California,2
2,2020-09-08,9,2020-09-08,Baja California,2
2,2020-09-09,16,2020-09-09,Baja California,2
2,2020-09-10,9,2020-09-10,Baja California,2
2,2020-09-11,9,2020-09-11,Baja California,2
2,2020-09-12,12,2020-09-12,Baja California,2
2,2020-09-13,7,2020-09-13,Baja California,2
2,2020-09-14,19,2020-09-14,Baja California,2
2,2020-09-15,11,2020-09-15,Baja California,2
2,2020-09-16,12,2020-09-16,Baja California,2
2,2020-09-17,11,2020-09-17,Baja California,2
